Timestamp,T_Value,H_Value,P_Value,B_Value,HR_Value
2025-02-18 02:01:10,24.34,54.63,0.0,0.0,0.0
2025-02-18 02:01:10,24.32,54.59,0.0,0.0,0.0
2025-02-18 02:01:10,24.33,54.6,0.0,0.0,0.0
2025-02-18 02:01:10,24.32,54.58,0.0,0.0,0.0
2025-02-18 02:01:11,24.31,54.53,0.0,0.0,0.0
2025-02-18 02:01:11,24.3,54.48,0.0,0.0,0.0
2025-02-18 02:01:11,24.31,54.49,0.0,0.0,0.0
2025-02-18 02:01:11,24.31,54.55,0.0,0.0,0.0
2025-02-18 02:01:11,24.3,54.48,0.0,0.0,0.0
2025-02-18 02:01:11,24.3,54.51,0.0,0.0,0.0
2025-02-18 02:01:11,24.3,54.53,0.0,0.0,0.0
2025-02-18 02:01:11,24.28,54.53,0.0,0.0,0.0
2025-02-18 02:01:11,24.27,54.55,0.0,0.0,0.0
2025-02-18 02:01:11,24.28,54.54,0.0,0.0,0.0
2025-02-18 02:01:11,24.29,54.53,0.0,0.0,0.0
2025-02-18 02:01:11,24.26,54.55,0.0,0.0,0.0
2025-02-18 02:01:11,24.26,54.59,0.0,0.0,0.0
2025-02-18 02:01:11,24.25,54.55,0.0,0.0,0.0
2025-02-18 02:01:11,24.24,54.57,0.0,0.0,0.0
2025-02-18 02:01:11,24.26,54.55,0.0,0.0,0.0
2025-02-18 02:01:11,24.25,54.6,0.0,0.0,0.0
2025-02-18 02:01:11,24.24,54.61,0.0,0.0,0.0
2025-02-18 02:01:11,24.25,54.63,0.0,0.0,0.0
2025-02-18 02:01:11,24.24,54.58,0.0,0.0,0.0
2025-02-18 02:01:11,24.24,54.54,0.0,0.0,0.0
2025-02-18 02:01:11,24.23,54.53,0.0,0.0,0.0
2025-02-18 02:01:11,24.22,54.56,0.0,0.0,0.0
2025-02-18 02:01:11,24.23,54.61,0.0,0.0,0.0
2025-02-18 02:01:12,24.22,54.56,0.0,0.0,0.0
2025-02-18 02:01:12,24.23,54.59,0.0,0.0,0.0
2025-02-18 02:01:12,24.21,54.55,0.0,0.0,0.0
2025-02-18 02:01:12,24.22,54.52,0.0,0.0,0.0
2025-02-18 02:01:12,24.21,54.53,0.0,0.0,0.0
2025-02-18 02:01:12,24.21,54.66,0.0,0.0,0.0
2025-02-18 02:01:12,24.21,54.63,0.0,0.0,0.0
2025-02-18 02:01:12,24.21,54.61,0.0,0.0,0.0
2025-02-18 02:01:12,24.2,54.6,0.0,0.0,0.0
2025-02-18 02:01:12,24.19,54.59,0.0,0.0,0.0
2025-02-18 02:01:12,24.2,54.53,0.0,0.0,0.0
2025-02-18 02:01:12,24.18,54.6,0.0,0.0,0.0
2025-02-18 02:01:12,24.19,54.55,0.0,0.0,0.0
2025-02-18 02:01:12,24.18,54.67,0.0,0.0,0.0
2025-02-18 02:01:12,24.17,54.57,0.0,0.0,0.0
2025-02-18 02:01:12,24.16,54.6,0.0,0.0,0.0
2025-02-18 02:01:12,24.18,54.6,0.0,0.0,0.0
2025-02-18 02:01:12,24.18,54.63,0.0,0.0,0.0
2025-02-18 02:01:12,24.16,54.62,0.0,0.0,0.0
2025-02-18 02:01:12,24.16,54.58,0.0,0.0,0.0
2025-02-18 02:01:12,24.15,54.65,0.0,0.0,0.0
2025-02-18 02:01:12,24.16,54.58,0.0,0.0,0.0
2025-02-18 02:01:12,24.16,54.62,0.0,0.0,0.0
2025-02-18 02:01:12,24.15,54.58,0.0,0.0,0.0
2025-02-18 02:01:12,24.16,54.65,0.0,0.0,0.0
2025-02-18 02:01:13,24.16,54.58,0.0,0.0,0.0
2025-02-18 02:01:13,24.13,54.57,0.0,0.0,0.0
2025-02-18 02:01:13,24.16,54.63,0.0,0.0,0.0
2025-02-18 02:01:13,24.14,54.62,0.0,0.0,0.0
2025-02-18 02:01:13,24.15,54.65,0.0,0.0,0.0
2025-02-18 02:01:13,24.14,54.66,0.0,0.0,0.0
2025-02-18 02:01:13,24.14,54.63,0.0,0.0,0.0
2025-02-18 02:01:13,24.14,54.67,0.0,0.0,0.0
2025-02-18 02:01:13,24.12,54.59,0.0,0.0,0.0
2025-02-18 02:01:13,24.12,54.61,0.0,0.0,0.0
2025-02-18 02:01:13,24.12,54.64,0.0,0.0,0.0
2025-02-18 02:01:13,24.11,54.66,0.0,0.0,0.0
