Timestamp,Audio,Temperature(C),Humidity(%),Pressure(Pa),Oxygen(%),HeartRate(BPM)
2025-02-20 23:58:49,316,26.46,75.04,0.0,0.0,0.0
2025-02-20 23:58:49,310,26.45,75.01,0.0,0.0,0.0
2025-02-20 23:58:49,315,26.47,74.99,0.0,0.0,0.0
2025-02-20 23:58:49,318,26.47,74.99,0.0,0.0,0.0
2025-02-20 23:58:49,315,26.48,74.98,0.0,0.0,0.0
2025-02-20 23:58:49,329,26.45,74.97,0.0,0.0,0.0
2025-02-20 23:58:49,315,26.45,75.03,0.0,0.0,0.0
2025-02-20 23:58:49,311,26.44,75.15,0.0,0.0,0.0
2025-02-20 23:58:49,296,26.47,75.24,0.0,0.0,0.0
2025-02-20 23:58:49,307,26.47,75.34,0.0,0.0,0.0
2025-02-20 23:58:49,303,26.46,75.46,0.0,0.0,0.0
2025-02-20 23:58:49,279,26.47,75.52,0.0,0.0,0.0
2025-02-20 23:58:49,266,26.47,75.62,0.0,0.0,0.0
2025-02-20 23:58:49,261,26.48,75.77,0.0,0.0,0.0
2025-02-20 23:58:49,267,26.47,75.8,0.0,0.0,0.0
2025-02-20 23:58:50,260,26.45,75.85,0.0,0.0,0.0
2025-02-20 23:58:50,241,26.45,75.84,0.0,0.0,0.0
2025-02-20 23:58:50,245,26.46,75.98,0.0,0.0,0.0
2025-02-20 23:58:50,249,26.45,75.97,0.0,0.0,0.0
2025-02-20 23:58:50,247,26.45,75.95,0.0,0.0,0.0
2025-02-20 23:58:50,243,26.47,76.02,0.0,0.0,0.0
2025-02-20 23:58:50,241,26.48,76.06,0.0,0.0,0.0
2025-02-20 23:58:50,242,26.47,76.01,0.0,0.0,0.0
2025-02-20 23:58:50,241,26.48,76.09,0.0,0.0,0.0
2025-02-20 23:58:50,240,26.49,76.15,0.0,0.0,0.0
2025-02-20 23:58:50,240,26.47,76.14,0.0,0.0,0.0
2025-02-20 23:58:50,243,26.46,76.16,0.0,0.0,0.0
2025-02-20 23:58:50,246,26.48,76.23,0.0,0.0,0.0
2025-02-20 23:58:50,256,26.49,76.14,0.0,0.0,0.0
2025-02-20 23:58:50,256,26.47,76.16,0.0,0.0,0.0
2025-02-20 23:58:50,256,26.47,76.17,0.0,0.0,0.0
2025-02-20 23:58:50,263,26.48,76.13,0.0,0.0,0.0
2025-02-20 23:58:50,266,26.47,76.15,0.0,0.0,0.0
2025-02-20 23:58:50,266,26.48,76.12,0.0,0.0,0.0
2025-02-20 23:58:50,268,26.48,76.09,0.0,0.0,0.0
2025-02-20 23:58:50,273,26.46,75.99,0.0,0.0,0.0
2025-02-20 23:58:50,276,26.46,76.01,0.0,0.0,0.0
2025-02-20 23:58:50,277,26.47,76.01,0.0,0.0,0.0
2025-02-20 23:58:50,278,26.46,75.97,0.0,0.0,0.0
2025-02-20 23:58:50,281,26.46,75.89,0.0,0.0,0.0
2025-02-20 23:58:50,289,26.44,75.92,0.0,0.0,0.0
2025-02-20 23:58:50,292,26.45,75.92,0.0,0.0,0.0
2025-02-20 23:58:50,295,26.47,75.79,0.0,0.0,0.0
2025-02-20 23:58:50,290,26.45,75.89,0.0,0.0,0.0
2025-02-20 23:58:50,294,26.47,75.75,0.0,0.0,0.0
2025-02-20 23:58:51,289,26.44,75.71,0.0,0.0,0.0
2025-02-20 23:58:51,304,26.46,75.76,0.0,0.0,0.0
2025-02-20 23:58:51,297,26.47,75.65,0.0,0.0,0.0
2025-02-20 23:58:51,304,26.45,75.6,0.0,0.0,0.0
2025-02-20 23:58:51,298,26.45,75.57,0.0,0.0,0.0
2025-02-20 23:58:51,304,26.45,75.5,0.0,0.0,0.0
2025-02-20 23:58:51,304,26.45,75.52,0.0,0.0,0.0
2025-02-20 23:58:51,298,26.46,75.5,0.0,0.0,0.0
2025-02-20 23:58:51,299,26.46,75.46,0.0,0.0,0.0
2025-02-20 23:58:51,304,26.46,75.42,0.0,0.0,0.0
2025-02-20 23:58:51,304,26.42,75.38,0.0,0.0,0.0
2025-02-20 23:58:51,310,26.44,75.28,0.0,0.0,0.0
2025-02-20 23:58:51,307,26.45,75.24,0.0,0.0,0.0
2025-02-20 23:58:51,311,26.47,75.18,0.0,0.0,0.0
2025-02-20 23:58:51,310,26.45,75.17,0.0,0.0,0.0
2025-02-20 23:58:51,330,26.46,75.21,0.0,0.0,0.0
2025-02-20 23:58:51,308,26.45,75.19,0.0,0.0,0.0
2025-02-20 23:58:51,307,26.43,75.25,0.0,0.0,0.0
2025-02-20 23:58:51,304,26.42,75.24,0.0,0.0,0.0
